Time (ms), Voltage (V), Raw reading,V*dt,,,,Resistance,1000
365213,0.28,57,0.00308,,,,,
365224,0.1,21,0.0011,,,,,
365236,0.28,58,0.00336,,,,,
365247,0.25,52,0.00275,,,,,
365258,0.29,59,0.00319,,,,,
365270,0.2,40,0.0024,,,,,
365281,0.15,30,0.00165,,,,,
365292,0.32,65,0.00352,,,,,
365303,0.19,39,0.00209,,,,,
365315,0.13,26,0.00156,,,,,
365326,0.3,61,0.0033,,,,,
365337,0.14,29,0.00154,,,,,
365348,0.12,24,0.00132,,,,,
365360,0.28,57,0.00336,,,,,
365370,0.23,48,0.0023,,,,,
365381,0.23,48,0.00253,,,,,
365392,0.2,40,0.0022,,,,,
365404,0.13,26,0.00156,,,,,
365415,0.27,55,0.00297,,,,,
365426,0.25,52,0.00275,,,,,
365437,0.09,18,0.00099,,,,,
365449,0.25,51,0.003,,,,,
365460,0.24,50,0.00264,,,,,
365471,0.24,50,0.00264,,,,,
365483,0.11,23,0.00132,,,,,
365494,0.15,30,0.00165,,,,,
365507,0.2,41,0.0026,,,,,
365518,0.22,44,0.00242,,,,,
365530,0.25,51,0.003,,,,,
365541,0.24,50,0.00264,,,,,
365552,0.24,49,0.00264,,,,,
365563,0.25,51,0.00275,,,,,
365575,0.22,46,0.00264,,,,,
365586,0.23,48,0.00253,,,,,
365597,0.21,42,0.00231,,,,,
365608,0.15,31,0.00165,,,,,
365620,0.14,28,0.00168,,,,,
365631,0.09,18,0.00099,,,,,
365642,0.22,46,0.00242,,,,,
365654,0.14,29,0.00168,,,,,
365665,0.21,43,0.00231,,,,,
365676,0.17,35,0.00187,,,,,
365687,0.19,39,0.00209,,,,,
365699,0.14,28,0.00168,,,,,
365710,0.18,36,0.00198,,,,,
365721,0.15,31,0.00165,,,,,
365731,0.21,43,0.0021,,,,,
365743,0.26,53,0.00312,,,,,
365754,0.19,38,0.00209,,,,,
365765,0.14,28,0.00154,,,,,
365776,0.2,41,0.0022,,,,,
365788,0.1,21,0.0012,,,,,
365799,0.15,31,0.00165,,,,,
365810,0.22,46,0.00242,,,,,
365821,0.16,32,0.00176,,,,,
365833,0.24,49,0.00288,,,,,
365844,0.1,20,0.0011,,,,,
365855,0.2,41,0.0022,,,,,
365867,0.15,30,0.0018,,,,,
365899,0.16,33,0.00512,,,,,
365915,0.11,22,0.00176,,,,,
365926,0.14,28,0.00154,,,,,
365937,0.13,26,0.00143,,,,,
365948,0.16,33,0.00176,,,,,
365960,0.19,39,0.00228,,,,,
365971,0.12,25,0.00132,,,,,
365982,0.29,59,0.00319,,,,,
365993,0.11,23,0.00121,,,,,
366005,0.15,31,0.0018,,,,,
366016,0.17,35,0.00187,,,,,
366027,0.25,51,0.00275,,,,,
366039,0.2,41,0.0024,,,,,
366050,0.1,21,0.0011,,,,,
366060,0.09,19,0.0009,,,,,
366071,0.22,44,0.00242,,,,,
366083,0.14,29,0.00168,,,,,
366094,0.21,43,0.00231,,,,,
366105,0.12,25,0.00132,,,,,
366116,0.21,42,0.00231,,,,,
366128,0.06,12,0.00072,,,,,
366139,0.23,48,0.00253,,,,,
366150,0.11,23,0.00121,,,,,
366161,0.12,24,0.00132,,,,,
366173,0.14,29,0.00168,,,,,
366184,0.21,42,0.00231,,,,,
366195,0.14,28,0.00154,,,,,
366206,0.11,23,0.00121,,,,,
366218,0.11,22,0.00132,,,,,
366229,0.1,21,0.0011,,,,,
366240,0.05,11,0.00055,,,,,
366252,0.11,22,0.00132,,,,,
366262,0.13,26,0.0013,,,,,
366273,0.13,26,0.00143,,,,,
366284,0.13,27,0.00143,,,,,
366299,0.14,29,0.0021,,,,,
366310,0.09,19,0.00099,,,,,
366321,0.06,13,0.00066,,,,,
366332,0.12,24,0.00132,,,,,
366344,0.14,29,0.00168,,,,,
366355,0.08,17,0.00088,,,,,
366366,0.08,16,0.00088,,,,,
366377,0.11,22,0.00121,,,,,
366389,0.09,19,0.00108,,,,,
366400,0.1,21,0.0011,,,,,
366411,0.07,14,0.00077,,,,,
366423,0.11,22,0.00132,,,,,
366433,0.13,26,0.0013,,,,,
366444,0.07,15,0.00077,,,,,
366455,0.11,23,0.00121,,,,,
366467,0.11,22,0.00132,,,,,
366478,0.13,27,0.00143,,,,,
366489,0.07,15,0.00077,,,,,
366500,0.04,9,0.00044,,,,,
366512,0.08,16,0.00096,,,,,
366523,0.08,16,0.00088,,,,,
366534,0.12,24,0.00132,,,,,
366545,0.06,12,0.00066,,,,,
366557,0.13,26,0.00156,,,,,
366568,0.13,27,0.00143,,,,,
366579,0.07,14,0.00077,,,,,
366590,0.05,10,0.00055,,,,,
366602,0.07,15,0.00084,,,,,
366612,0.11,23,0.0011,,,,,
366623,0.12,25,0.00132,,,,,
366635,0.1,21,0.0012,,,,,
366646,0.09,19,0.00099,,,,,
366657,0.14,28,0.00154,,,,,
366668,0.09,18,0.00099,,,,,
366680,0.09,18,0.00108,,,,,
366694,0.17,34,0.00238,,,,,
366705,0.12,25,0.00132,,,,,
366716,0.06,13,0.00066,,,,,
366728,0.08,16,0.00096,,,,,
366739,0.15,30,0.00165,,,,,
366750,0.1,21,0.0011,,,,,
366761,0.06,12,0.00066,,,,,
366773,0.08,16,0.00096,,,,,
366783,0.12,25,0.0012,,,,,
366794,0.05,10,0.00055,,,,,
366806,0.09,18,0.00108,,,,,
366817,0.14,29,0.00154,,,,,
366828,0.09,18,0.00099,,,,,
366839,0.13,26,0.00143,,,,,
366851,0.13,27,0.00156,,,,,
366862,0.09,18,0.00099,,,,,
366873,0.12,25,0.00132,,,,,
366884,0.1,21,0.0011,,,,,
366896,0.08,17,0.00096,,,,,
366907,0.11,23,0.00121,,,,,
366918,0.16,32,0.00176,,,,,
366929,0.08,17,0.00088,,,,,
366941,0.05,11,0.0006,,,,,
366952,0.08,17,0.00088,,,,,
366962,0.11,22,0.0011,,,,,
366973,0.04,9,0.00044,,,,,
366985,0.09,19,0.00108,,,,,
366996,0.1,20,0.0011,,,,,
367007,0.11,22,0.00121,,,,,
367019,0.05,10,0.0006,,,,,
367030,0.04,8,0.00044,,,,,
367041,0.09,19,0.00099,,,,,
367052,0.1,21,0.0011,,,,,
367064,0.1,21,0.0012,,,,,
367078,0.12,25,0.00168,,,,,
367089,0.07,14,0.00077,,,,,
367100,0.15,30,0.00165,,,,,
367111,0.12,25,0.00132,,,,,
367122,0.08,16,0.00088,,,,,
367133,0.07,14,0.00077,,,,,
367144,0.04,8,0.00044,,,,,
367156,0.07,14,0.00084,,,,,
367167,0.08,16,0.00088,,,,,
367178,0.08,16,0.00088,,,,,
367190,0.1,20,0.0012,,,,,
367201,0.09,18,0.00099,,,,,
367212,0.09,18,0.00099,,,,,
367223,0.07,15,0.00077,,,,,
367235,0.05,11,0.0006,,,,,
367246,0.06,13,0.00066,,,,,
367257,0.05,11,0.00055,,,,,
367268,0.08,17,0.00088,,,,,
367280,0.07,14,0.00084,,,,,
367290,0.09,18,0.0009,,,,,
367301,0.13,26,0.00143,,,,,
367312,0.06,12,0.00066,,,,,
367324,0.1,20,0.0012,,,,,
367335,0.08,17,0.00088,,,,,
367346,0.07,15,0.00077,,,,,
367357,0.1,20,0.0011,,,,,
367369,0.07,14,0.00084,,,,,
367380,0.1,20,0.0011,,,,,
367391,0.05,11,0.00055,,,,,
367403,0.1,20,0.0012,,,,,
367414,0.04,9,0.00044,,,,,
367425,0.07,15,0.00077,,,,,
367436,0.07,15,0.00077,,,,,
367448,0.06,13,0.00072,,,,,
367472,0.05,10,0.0012,,,,,
367483,0.1,20,0.0011,,,,,
367495,0.04,9,0.00048,,,,,
367506,0.05,11,0.00055,,,,,
367517,0.08,16,0.00088,,,,,
367528,0.03,7,0.00033,,,,,
367540,0.05,10,0.0006,,,,,
367551,0.07,15,0.00077,,,,,
367561,0.04,9,0.0004,,,,,
367572,0.08,17,0.00088,,,,,
367584,0.11,22,0.00132,,,,,
367595,0.03,7,0.00033,,,,,
367606,0.06,12,0.00066,,,,,
367618,0.06,13,0.00072,,,,,
367629,0.06,12,0.00066,,,,,
367640,0.08,16,0.00088,,,,,
367651,0.05,10,0.00055,,,,,
367663,0.1,21,0.0012,,,,,
367674,0.05,10,0.00055,,,,,
367685,0.08,16,0.00088,,,,,
367696,0.06,12,0.00066,,,,,
367708,0.09,18,0.00108,,,,,
367719,0.04,8,0.00044,,,,,
367729,0.09,19,0.0009,,,,,
367740,0.03,7,0.00033,,,,,
367752,0.07,15,0.00084,,,,,
367763,0.12,25,0.00132,,,,,
367774,0.08,16,0.00088,,,,,
367785,0.06,12,0.00066,,,,,
367797,0.07,15,0.00084,,,,,
367808,0.08,17,0.00088,,,,,
367819,0.06,13,0.00066,,,,,
367831,0.04,8,0.00048,,,,,
367842,0.07,14,0.00077,,,,,
367853,0.03,7,0.00033,,,,,
367867,0.07,14,0.00098,,,,,
367879,0.05,10,0.0006,,,,,
367890,0.04,9,0.00044,,,,,
367901,0.07,14,0.00077,,,,,
367911,0.09,19,0.0009,,,,,
367923,0.07,14,0.00084,,,,,
367934,0.08,17,0.00088,,,,,
367945,0.06,12,0.00066,,,,,
367956,0.1,21,0.0011,,,,,
367968,0.03,7,0.00036,,,,,
367979,0.04,8,0.00044,,,,,
367990,0.06,13,0.00066,,,,,
368002,0.07,15,0.00084,,,,,
368013,0.02,4,0.00022,,,,,
368024,0.07,15,0.00077,,,,,
368035,0.05,11,0.00055,,,,,
368047,0.06,12,0.00072,,,,,
368058,0.04,9,0.00044,,,,,
368069,0.06,13,0.00066,,,,,
368079,0.08,17,0.0008,,,,,
368091,0.07,15,0.00084,,,,,
368102,0.07,14,0.00077,,,,,
368113,0.05,11,0.00055,,,,,
368124,0.06,12,0.00066,,,,,
368136,0.05,11,0.0006,,,,,
